urn,title,page_start,page_end,overlapp,digital_visning,comment
URN:NBN:no-nb_digibok_2016070808151,Syttende mai,8,8,,x,
URN:NBN:no-nb_digibok_2016070808151,En fremmed fugl,9,10,x,,
URN:NBN:no-nb_digibok_2016070808151,Da rosentræet døde,10,10,x,,
URN:NBN:no-nb_digibok_2016070808151,Gjöken,11,12,x,,
URN:NBN:no-nb_digibok_2016070808151,Maaltrost,12,12,x,,
URN:NBN:no-nb_digibok_2016070808151,En livslod,13,14,x,,
URN:NBN:no-nb_digibok_2016070808151,Tröst og haab,14,14,x,,
URN:NBN:no-nb_digibok_2016070808151,En sommerkveld ved graven,15,15,x,,
URN:NBN:no-nb_digibok_2016070808151,Taaren,15,15,x,,
URN:NBN:no-nb_digibok_2016070808151,Paa Vagt,16,16,x,,
URN:NBN:no-nb_digibok_2016070808151,Til jul,16,17,x,,
URN:NBN:no-nb_digibok_2016070808151,Et venne-minde,17,18,x,,
URN:NBN:no-nb_digibok_2016070808151,Fra Maristien,18,19,x,,
URN:NBN:no-nb_digibok_2016070808151,En Mindeblomst,19,20,x,,
URN:NBN:no-nb_digibok_2016070808151,Længsel,20,21,x,,
URN:NBN:no-nb_digibok_2016070808151,Fra livet til livet,21,22,x,,
URN:NBN:no-nb_digibok_2016070808151,Et liv i seir,22,23,x,,
URN:NBN:no-nb_digibok_2016070808151,En verdensmagt,23,24,x,,
URN:NBN:no-nb_digibok_2016070808151,Kvindens kald,24,24,x,,
URN:NBN:no-nb_digibok_2016070808151,En eneste,25,25,x,,
URN:NBN:no-nb_digibok_2016070808151,Da lövet spratt,25,26,x,,
URN:NBN:no-nb_digibok_2016070808151,Derudefra,26,27,x,,
URN:NBN:no-nb_digibok_2016070808151,Forladt,27,28,x,,
URN:NBN:no-nb_digibok_2016070808151,En drömmer,28,29,x,,
URN:NBN:no-nb_digibok_2016070808151,Til doktor G,30,30,x,,
URN:NBN:no-nb_digibok_2016070808151,Sigrdrifa,30,31,x,,
URN:NBN:no-nb_digibok_2016070808151,Sölvbryllupshilsen,31,33,x,,
URN:NBN:no-nb_digibok_2016070808151,Frit ord,33,34,x,,
URN:NBN:no-nb_digibok_2016070808151,Johan Sverdrup,34,35,x,,
URN:NBN:no-nb_digibok_2016070808151,Ved Björnstjerne Björnsons,35,36,x,,
URN:NBN:no-nb_digibok_2016070808151,Vaarkjending,37,38,x,,
URN:NBN:no-nb_digibok_2016070808151,Vaar,38,39,x,,
URN:NBN:no-nb_digibok_2016070808151,Vaaren i Norge,39,40,x,,
URN:NBN:no-nb_digibok_2016070808151,Sommerkveld,41,41,x,,
URN:NBN:no-nb_digibok_2016070808151,Vet et hejmkommaröl,41,44,x,,
URN:NBN:no-nb_digibok_2016070808151,Hilsen til Sangern,44,45,x,,
URN:NBN:no-nb_digibok_2016070808151,Farvel!,46,46,x,,
URN:NBN:no-nb_digibok_2016070808151,Til en ven,46,47,x,,
URN:NBN:no-nb_digibok_2012103106111,[introdikt],11,11,,,obs: dramatisk fortelling; fotnoter s. 12
URN:NBN:no-nb_digibok_2012103106111,Fyrestev,12,13,,,
URN:NBN:no-nb_digibok_2012103106111,Vaaren. Sigri syng,14,14,,,
URN:NBN:no-nb_digibok_2012103106111,Gunnar køyrer Sigri i joli,15,15,x,,fotn
URN:NBN:no-nb_digibok_2012103106111,Gunnar høyrer Sigri hjala,15,16,,,fotn
URN:NBN:no-nb_digibok_2012103106111,Sigri,16,17,x,,fotn
URN:NBN:no-nb_digibok_2012103106111,Gunnar,17,18,x,,fotn
URN:NBN:no-nb_digibok_2012103106111,Sokkebondi,18,19,x,,fotn
URN:NBN:no-nb_digibok_2012103106111,Bryllaupsmorgonen,19,19,x,,fotn
URN:NBN:no-nb_digibok_2012103106111,I bryllaupe paa Nes,20,21,x,,
URN:NBN:no-nb_digibok_2012103106111,Dansen,21,26,x,,fotn 21-25
URN:NBN:no-nb_digibok_2012103106111,Gunnar og Sigri,26,27,x,,fotn 27
URN:NBN:no-nb_digibok_2012103106111,Brynjulv Upsta,28,30,,,osv.!
URN:NBN:no-nb_digibok_2012103106111,I drykkjestova,31,39,,,
URN:NBN:no-nb_digibok_2012103106111,Sigri vert tvinga,40,40,,,
URN:NBN:no-nb_digibok_2012103106111,Gunnar fer heiman; møter Sigri,41,42,,,
URN:NBN:no-nb_digibok_2012103106111,Sigri gjeng me sut,43,44,,,
URN:NBN:no-nb_digibok_2012103106111,Brynjulv vender hugen; frir til ei onnor rik gjente,45,47,x,,
URN:NBN:no-nb_digibok_2012103106111,Sigri fær ei trøyst,46,48,x,,
URN:NBN:no-nb_digibok_2012103106111,Gunnar lengtar heim,49,50,x,,
URN:NBN:no-nb_digibok_2012103106111,Paa Leikvollen,52,65,x,,jeg utelater prosabit på starten! obs: replikker
URN:NBN:no-nb_digibok_2012103106111,"""Ungdoms kjærleike aukar paa""",65,66,x,,
URN:NBN:no-nb_digibok_2012103106111,Nott og dagsprett,66,68,x,,
URN:NBN:no-nb_digibok_2012103106111,Olav Flaa versnar om senn; han døyr,68,69,x,,
URN:NBN:no-nb_digibok_2012103106111,Gunnar kjem heim atte,69,69,x,,
URN:NBN:no-nb_digibok_2012103106111,Møte,69,73,x,,
URN:NBN:no-nb_digibok_2006112300015,Forord,4,5,,,
URN:NBN:no-nb_digibok_2006112300015,1. ,6,6,,,
URN:NBN:no-nb_digibok_2006112300015,2.,7,7,,,
URN:NBN:no-nb_digibok_2006112300015,3.,8,8,,,
URN:NBN:no-nb_digibok_2006112300015,4.,9,9,,,
URN:NBN:no-nb_digibok_2006112300015,5.,10,10,,,
URN:NBN:no-nb_digibok_2006112300015,6.,11,11,,,
URN:NBN:no-nb_digibok_2006112300015,7.,12,12,,,
URN:NBN:no-nb_digibok_2006112300015,8.,13,13,,,
URN:NBN:no-nb_digibok_2006112300015,9.,14,14,,,
URN:NBN:no-nb_digibok_2006112300015,10.,15,15,,,
URN:NBN:no-nb_digibok_2006112300015,11.,16,16,,,
URN:NBN:no-nb_digibok_2006112300015,12.,17,17,,,
URN:NBN:no-nb_digibok_2006112300015,13.,18,18,,,
URN:NBN:no-nb_digibok_2006112300015,14.,19,19,,,
URN:NBN:no-nb_digibok_2006112300015,15.,20,20,,,
URN:NBN:no-nb_digibok_2006112300015,16.,21,21,,,
URN:NBN:no-nb_digibok_2006112300015,17.,22,22,,,
URN:NBN:no-nb_digibok_2006112300015,18.,23,23,,,
URN:NBN:no-nb_digibok_2006112300015,19.,24,24,,,
URN:NBN:no-nb_digibok_2006112300015,20.,25,25,,,
URN:NBN:no-nb_digibok_2006112300015,21.,26,26,,,
URN:NBN:no-nb_digibok_2006112300015,22.,27,27,,,
URN:NBN:no-nb_digibok_2006112300015,23.,28,28,,,
URN:NBN:no-nb_digibok_2006112300015,24.,29,29,,,
URN:NBN:no-nb_digibok_2006112300015,25.,30,30,,,
URN:NBN:no-nb_digibok_2006112300015,26.,31,31,,,
URN:NBN:no-nb_digibok_2006112300015,27.,32,32,,,
URN:NBN:no-nb_digibok_2006112300015,28.,33,33,,,
URN:NBN:no-nb_digibok_2006112300015,29.,34,34,,,
URN:NBN:no-nb_digibok_2006112300015,30.,35,35,,,
URN:NBN:no-nb_digibok_2006112300015,31.,36,36,,,
URN:NBN:no-nb_digibok_2006112300015,32.,37,37,,,
URN:NBN:no-nb_digibok_2006112300015,33.,38,38,,,
